TS_LOAD,SC_STATUS_CD,TSO_SPLIT_NO,VEH_SER_NO
2017-03-08 08:37:06.299802,Resolved,JN1766,QOI045
2017-03-08 08:37:06.299802,Resolved,JN1766,NSZ265
2017-03-08 08:37:06.299802,Resolved,JN1766,GKY540
2017-03-08 08:37:06.299802,Resolved,JN1766,EGQ483
2017-03-08 07:34:22.761769,Resolved,E93610,UEX891
2017-03-06 07:42:22.296099,Resolved,JL9719,EZM816
2017-03-06 08:36:21.229299,Resolved,JL6793,XPS568
2017-03-06 10:07:01.773671,Resolved,HK5214,KZN183
2017-03-06 10:59:44.291118,Resolved,JK1140,HCS712
2017-03-06 10:59:44.291118,Resolved,JK1140,DYK460
2017-03-06 10:59:44.291118,Resolved,JK1140,WAZ024
2017-03-06 10:59:44.291118,Resolved,JK1140,CVB953
2017-03-06 10:59:44.291118,Resolved,JK1140,SCQ391
2017-03-06 10:59:44.291118,Resolved,JK1140,ROG638
2017-03-06 10:59:44.291118,Resolved,JK1140,BIM387
2017-03-06 10:59:44.291118,Resolved,JK1140,JUF147
2017-03-06 10:59:44.291118,Resolved,JK1140,GJE530
2017-03-06 10:59:44.291118,Resolved,JK1140,MIU465
2017-03-06 10:59:44.291118,Resolved,JK1140,SBE738
2017-03-06 10:59:44.291118,Resolved,JK1140,QAK703
2017-03-06 10:59:44.291118,Resolved,JK1140,HUC940
2017-03-06 10:59:44.291118,Resolved,JK1140,RBH374
2017-03-06 10:59:44.291118,Resolved,JK1140,QNT451
2017-03-06 10:59:44.291118,Resolved,JK1140,DCM402
2017-03-06 10:59:44.291118,Resolved,JK1140,BUL581
2017-03-06 10:59:44.291118,Resolved,JK1140,BQV978
2017-03-06 10:59:44.291118,Resolved,JK1140,OMN803
2017-03-06 10:59:44.291118,Resolved,JK1140,LJZ634
2017-03-06 10:59:44.291118,Resolved,JK1140,XQV078
2017-03-06 10:59:44.291118,Resolved,JK1140,NIH936
2017-03-06 10:59:44.291118,Resolved,JK1140,THA815
2017-03-06 10:59:44.291118,Resolved,JK1140,LIU371
2017-03-06 10:59:44.291118,Resolved,JK1140,MZV401
2017-03-06 13:14:14.316077,Resolved,JL8728,DYU254
2017-03-06 13:14:14.316077,Resolved,JL8728,IPB684
2017-03-06 13:14:14.316077,Resolved,JL8728,EHB487
2017-03-06 13:14:14.316077,Resolved,JL8728,IXQ846
2017-03-06 13:14:14.316077,Resolved,JL8728,PIG957
2017-03-06 16:09:50.952138,Resolved,JN2591,EKJ419
2017-03-06 21:12:42.968009,Resolved,JK8749,ANP821
2017-03-06 21:12:42.968009,Resolved,JK8749,SPT823
2017-03-06 21:12:42.968009,Resolved,JK8749,AYH057
2017-03-06 21:12:42.968009,Resolved,JK8749,OJM183
2017-03-06 21:12:42.968009,Resolved,JK8749,RIH403
2017-03-06 21:12:42.968009,Resolved,JK8749,RUG084
2017-03-07 11:06:33.592381,Resolved,JL7257,BYN347
2017-03-07 03:34:24.781749,Resolved,JK0218,QCA735
2017-03-07 03:34:24.781749,Resolved,JK0218,ING265
2017-03-07 03:34:24.781749,Resolved,JK0218,SQV346
2017-03-07 03:34:24.781749,Resolved,JK0218,EIV921
2017-03-07 03:34:24.781749,Resolved,JK0218,LPF925
2017-03-07 03:34:24.781749,Resolved,JK0218,ZGT053
2017-03-07 03:34:24.781749,Resolved,JK0218,TRG517
2017-03-07 03:34:24.781749,Resolved,JK0218,LYZ608
2017-03-07 06:26:58.855312,Verification,JH4566,LAZ089
2017-03-07 06:26:58.855312,Verification,JH4566,PXG218
2017-03-07 06:26:58.855312,Verification,JH4566,XHC534
2017-03-07 06:26:58.855312,Verification,JH4566,OQF675
2017-03-07 06:26:58.855312,Verification,JH4566,DSG417
2017-03-07 06:26:58.855312,Verification,JH4566,ILA257
2017-03-07 06:26:58.855312,Verification,JH4566,MFQ468
2017-03-07 06:26:58.855312,Verification,JH4566,CQV982
2017-03-07 06:26:58.855312,Verification,JH4566,FOA701
2017-03-07 06:26:58.855312,Verification,JH4566,FAZ015
2017-03-07 06:26:58.855312,Verification,JH4566,VLW397
2017-03-07 06:26:58.855312,Verification,JH4566,DEU253
2017-03-07 06:26:58.855312,Verification,JH4566,GVB853
2017-03-07 06:26:58.855312,Verification,JH4566,FDO805
2017-03-07 06:26:58.855312,Verification,JH4566,LIB341
2017-03-07 06:26:58.855312,Verification,JH4566,PRC732
2017-03-07 06:26:58.855312,Verification,JH4566,LQU926
2017-03-07 06:26:58.855312,Verification,JH4566,ZFK821
2017-03-07 06:26:58.855312,Verification,JH4566,WIK896
2017-03-07 06:26:58.855312,Verification,JH4566,JNV280
2017-03-07 06:26:58.855312,Verification,JH4566,ZLK932
2017-03-07 06:26:58.855312,Verification,JH4566,BVI973
2017-03-07 06:26:58.855312,Verification,JH4566,ZUA234
2017-03-07 06:26:58.855312,Verification,JH4566,WGB385
2017-03-07 06:26:58.855312,Verification,JH4566,UMC018
2017-03-07 06:26:58.855312,Verification,JH4566,QAB169
2017-03-07 06:26:58.855312,Verification,JH4566,NUA498
2017-03-07 06:26:58.855312,Verification,JH4566,VXM204
2017-03-07 06:36:38.351069,Verification,JK0969,SVP127
2017-03-07 06:36:38.351069,Verification,JK0969,JYL728
2017-03-07 06:36:38.351069,Verification,JK0969,AJF195
2017-03-07 06:36:38.351069,Verification,JK0969,RHX208
2017-03-07 06:36:38.351069,Verification,JK0969,TZO690
2017-03-07 06:36:38.351069,Verification,JK0969,PVZ436
2017-03-07 06:36:38.351069,Verification,JK0969,ILA012
2017-03-07 06:36:38.351069,Verification,JK0969,AYI236
2017-03-07 06:54:37.619279,Verification,JH4544,OGR812
2017-03-07 06:54:37.619279,Verification,JH4544,FIA956
2017-03-07 06:54:37.619279,Verification,JH4544,COH304
2017-03-07 06:54:37.619279,Verification,JH4544,FYA015
2017-03-07 06:54:37.619279,Verification,JH4544,CNI053
2017-03-07 06:54:37.619279,Verification,JH4544,JBF372
2017-03-07 06:54:37.619279,Verification,JH4544,USK521
2017-03-07 06:54:37.619279,Verification,JH4544,PTM350
2017-03-07 06:54:37.619279,Verification,JH4544,EDY751
2017-03-07 06:54:37.619279,Verification,JH4544,XZN395
2017-03-07 06:54:37.619279,Verification,JH4544,QAB348
2017-03-07 06:54:37.619279,Verification,JH4544,TAF284
2017-03-07 06:54:37.619279,Verification,JH4544,XDQ831
2017-03-07 06:54:37.619279,Verification,JH4544,QOB581
2017-03-07 06:54:37.619279,Verification,JH4544,GCY403
2017-03-07 06:54:37.619279,Verification,JH4544,RZY658
2017-03-07 06:54:37.619279,Verification,JH4544,BLW760
2017-03-07 06:54:37.619279,Verification,JH4544,UVL435
2017-03-07 06:54:37.619279,Verification,JH4544,FEC497
2017-03-07 06:54:37.619279,Verification,JH4544,OKU418
2017-03-07 06:54:37.619279,Verification,JH4544,XHL458
2017-03-07 06:54:37.619279,Verification,JH4544,SME316
2017-03-07 08:15:52.807151,Resolved,JM2929,WGB627
2017-03-07 08:15:52.807151,Resolved,JM2929,XEY483
2017-03-07 08:15:52.807151,Resolved,JM2929,GAO012
2017-03-07 08:47:55.872822,Resolved,JD6358,LDM527
2017-03-07 08:47:55.872822,Resolved,JD6358,ASK065
2017-03-07 08:47:55.872822,Resolved,JD6358,JTM078
2017-03-07 09:01:33.578344,Resolved,HF3730,TMN932
2017-03-07 09:01:33.578344,Resolved,HF3730,EWR145
2017-03-07 09:01:33.578344,Resolved,HF3730,FMJ197
2017-03-07 09:01:33.578344,Resolved,HF3730,DEX831
2017-03-07 09:01:33.578344,Resolved,HF3730,NZF917
2017-03-07 09:01:33.578344,Resolved,HF3730,JDG753
2017-03-07 09:01:33.578344,Resolved,HF3730,KFQ467
2017-03-07 09:01:33.578344,Resolved,HF3730,CQK129
2017-03-07 09:01:33.578344,Resolved,HF3730,AWF720
2017-03-07 09:01:33.578344,Resolved,HF3730,ERT957
2017-03-07 09:01:33.578344,Resolved,HF3730,LSC950
2017-03-07 09:01:33.578344,Resolved,HF3730,HPG356
2017-03-07 09:01:33.578344,Resolved,HF3730,ASX065
2017-03-07 09:01:33.578344,Resolved,HF3730,VBI315
2017-03-07 09:01:33.578344,Resolved,HF3730,UDE280
2017-03-07 09:01:33.578344,Resolved,HF3730,GKZ402
2017-03-07 09:01:33.578344,Resolved,HF3730,HKO874
2017-03-07 09:01:33.578344,Resolved,HF3730,WXO182
2017-03-07 09:01:33.578344,Resolved,HF3730,PFL459
2017-03-07 09:10:44.229869,Verification,JJ2604,GCI108
2017-03-07 09:10:44.229869,Verification,JJ2604,OAW568
2017-03-07 09:10:44.229869,Verification,JJ2604,EHI365
2017-03-07 09:17:36.020817,Resolved,JN2591,EKJ419
2017-03-07 09:58:35.786119,Resolved,JH8517,DLX128
2017-03-07 09:58:35.786119,Resolved,JH8517,TWV875
2017-03-07 09:58:35.786119,Resolved,JH8517,YFD846
2017-03-07 09:58:35.786119,Resolved,JH8517,SWP739
