LOC,VEH_SER_NO,INSP_COMT,TS_LOAD,FOUND_INSP_TEAM,RESP_INSP_TEAM,RESP_INSP_OPRUNT
17,RVM670,Beros beu.,6-Mar-17,107,,
17,RVM670,Borci bat ba bmi ba bid ba.,6-Mar-17,107,,
17,DBW217,Benim beu ba ba bnisl but ba ba ba bproin bnunc bodio betiam.,6-Mar-17,607,,
17,DBW217,Bduis bin bve bante blitora bper ba best bnec.,6-Mar-17,607,,
17,DBW217,Beget beu ba ba ba ba bmorbi ba burna bvitae bsem bdiam bodio bmi ba ba bvelit bac bhac.,6-Mar-17,607,,
17,RVM670,Bnibh bac baliquam ba bnon bsemper borci ba ba ba bhabitasse bsit bet bamet benim.,6-Mar-17,107,,
17,RVM670,Barcu bid bin bcum bmattis bhac bmi borci bnostra ba bnibh.,6-Mar-17,107,,
17,RVM670,Bamet bid.,6-Mar-17,107,,
17,RVM670,Barcu bet ba blacinia bnon ba.,6-Mar-17,107,,
17,RGU460,Bnunc bad bnunc bnam bat bhabitant ba ba.,6-Mar-17,607,,
17,RGU460,Bnibh bin ba.,6-Mar-17,607,,
17,FGB216,Bquis bat bquis blectus ba ba.,6-Mar-17,629,,
17,WDX548,Bdiam beu.,6-Mar-17,629,,
17,RGU460,Bamet bac bmi.,6-Mar-17,607,,
17,NHR180,Bnisi bac ba bhac bimperdiet bpede bnulla beu.,6-Mar-17,515,,
17,RHZ963,Benim bad but bvelit ba ba.,6-Mar-17,629,,
17,RHZ963,Bpede beu ba bleo.,6-Mar-17,629,,
17,IHY154,Burna bmi bve bnec bid bfeugiat bnascetur.,6-Mar-17,607,,
17,IHY154,Benim bmi ba bmi.,6-Mar-17,607,,
17,IHY154,Berat bac.,6-Mar-17,607,,
17,IHY154,Belit bve ba bid.,6-Mar-17,607,,
17,CYB497,Bquis bve.,6-Mar-17,107,,
17,CYB497,Bante bet ba bsit bnunc bnisl ba ba bante ba.,6-Mar-17,107,,
17,CYB497,Beget bid ba ba ba bin ba bsem bornare ba bhac ba ba blacinia.,6-Mar-17,107,,
17,XFK804,Barcu but.,6-Mar-17,629,,
17,CYB497,Barcu bac ba ba bmi but bsapien brhoncus ba.,6-Mar-17,107,,
17,XFK804,Bnibh bmi bac.,6-Mar-17,629,,
17,XFK804,Bnisi beu ba.,6-Mar-17,629,,
17,CYB497,Berat bve beu berat beni ba ba bfames bsed bleo.,6-Mar-17,107,,
17,XFK804,Bdiam bve beget ba ba but.,6-Mar-17,629,,
17,XFK804,Bnisl bin bve bmorbi ba ba.,6-Mar-17,629,,
17,XFK804,Bdiam bve ba bdiam bcum.,6-Mar-17,629,,
17,VCB259,Burna bad ba bid ba beu bet bmi ba bhac ba ba bfacilisis bnon ba bmagna ba ba ba ba bin.,6-Mar-17,607,,
17,XFK804,Benim bin ba bante brutrum ba bante.,6-Mar-17,629,,
17,XFK804,Bnisl bet bsodales ba bornare blacus ba ba.,6-Mar-17,629,,
17,XFK804,Bquam beu ba.,6-Mar-17,629,,
17,XFK804,Benim bid ba ba bnisi ba but.,6-Mar-17,629,,
17,TOR798,Beros bid bad bvel ba blacus but bnunc bnon bat bfusce ba bodio but ba.,6-Mar-17,607,,
17,TOR798,Berat bmi ba bmetus btempor bneque ba.,6-Mar-17,607,,
17,TOR798,Bnisl bin.,6-Mar-17,607,,
17,TOR798,Bamet bin ba.,6-Mar-17,607,,
17,TOR798,Barcu bmi bac.,6-Mar-17,607,,
17,TOR798,Bdiam bin but bat beget ba ba but.,6-Mar-17,607,,
17,TOR798,Bcras bat.,6-Mar-17,607,,
17,XEG792,Bodio bet ba bmagna ba bmalesuada ba.,6-Mar-17,629,,
17,XEG792,Bodio bmi ba bnibh bin beu bnulla ba burna ba.,6-Mar-17,629,,
17,XEG792,Borci bin ba bmi ba bfringilla ba bnibh ba.,6-Mar-17,629,205,200
17,XEG792,Bquam bid.,6-Mar-17,629,,
17,XEG792,Berat bve ba but ba bad bsit beu ba bet ba ba.,6-Mar-17,629,,
17,JHY927,Benim bmi ba bmus bsodales bin.,6-Mar-17,629,,
17,XEG792,Berat but bat.,6-Mar-17,629,,
17,JHY927,Bdiam bet bcras bquis.,6-Mar-17,629,,
17,JHY927,Bdiam but.,6-Mar-17,629,,
17,JHY927,Bquis bid bat barcu bet ba bmontes.,6-Mar-17,629,,
17,JHY927,Benim bmi but ba.,6-Mar-17,629,,
17,JHY927,Benim bin barcu.,6-Mar-17,629,,
17,XOG241,Bnisl bid beu ba ba bmagna bin.,6-Mar-17,107,,
17,XOG241,Bnunc bid ba bnibh ba.,6-Mar-17,107,,
17,NGC871,Bnisi bin bmi bpurus ba bdiam bfusce bat baptent bvel.,6-Mar-17,509,,
17,XOG241,Bnunc bac ba bat.,6-Mar-17,107,,
17,NGC871,Bodio bat.,6-Mar-17,509,,
17,BTO107,Borci bet ba ba bat ba ba barcu bve ba.,6-Mar-17,629,,
17,NGC871,Barcu bac ba bdis bcommodo.,6-Mar-17,509,,
17,XOG241,Beget bmi ba bac bat bfelis ba.,6-Mar-17,107,,
17,NGC871,Bcras bat ba ba bac bduis beni bve beu bac ba btempor.,6-Mar-17,509,,
17,BTO107,Bquis bad ba.,6-Mar-17,629,,
17,NGC871,Bquis bad bnunc blitora bmorbi bet.,6-Mar-17,509,,
17,BTO107,Bnisl beu ba.,6-Mar-17,629,,
17,XOG241,Bnibh bac.,6-Mar-17,107,,
17,BTO107,Bnisl bve ba ba ba bac bper.,6-Mar-17,629,,
17,BTO107,Bante bat ba ba ba bfelis bconvallis bnam bve bac but bnec.,6-Mar-17,629,,
17,BTO107,Bamet bin bnisi ba ba beu.,6-Mar-17,629,,
17,KHN863,Bduis bad ba best bnullam bdis bvelit bnonummy.,6-Mar-17,513,209,200
17,KHN863,Bante beu ba best bfelis berat.,6-Mar-17,513,,
17,BTO107,Beros bin bposuere betiam berat bcras bsem.,6-Mar-17,629,205,200
