TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
6-Mar-17,Paint Inspection,TPD286,PAINT
6-Mar-17,STVMS Tracking Top Station,SLP187,Top Station
6-Mar-17,STVMS Tracking Top Station,SGN329,Top Station
6-Mar-17,Assembly Line Tracker,SGN329,Pool 60 Start
6-Mar-17,Assembly Line Tracker,SLP187,Pool 60 Start
6-Mar-17,Cab call scan,TGJ401,A Line
6-Mar-17,Cab Conveyer,TFU306,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,TFU306,Cab Upload
6-Mar-17,OMT Offline Tracking,EMV512,Enter Offline
6-Mar-17,OMT Offline Tracking,EMV512,Sold
6-Mar-17,Paint Inspection,KQN543,PAINT
6-Mar-17,Cab Conveyer,LNY482,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,LNY482,Cab Upload
6-Mar-17,U-BOLT,QVS392,Front U-Bolt
6-Mar-17,OMT Offline Tracking,SLP187,Enter Offline
6-Mar-17,Hood Conveyor,QFW209,Hood Upload
6-Mar-17,U-BOLT,EJO928,Front U-Bolt
6-Mar-17,Cab Conveyer,CNZ205,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,CNZ205,Cab Upload
6-Mar-17,Assembly Line Tracker,QFW209,Pool 13 Start
6-Mar-17,Assembly Line Tracker,PRA475,Pool 13 Start
6-Mar-17,STVMS Tracking Chassis Start,PRA475,Chassis Start
6-Mar-17,Hood Conveyor,SZP362,Hood Upload
6-Mar-17,Cab in white conveyer,NUX358,CIW upload
6-Mar-17,U-BOLT,HMJ710,Front U-Bolt
6-Mar-17,Paint Inspection,OWH831,PAINT
6-Mar-17,Paint Inspection,SVP127,PAINT
6-Mar-17,Cab Conveyer,MQH836,Cab Upload 2
6-Mar-17,STVMS Tracking Chassis Start,ZDI213,Chassis Start
6-Mar-17,Assembly Line Tracker,ALE837,Pool 13 Start
6-Mar-17,Hood Conveyor,CJQ075,Hood Upload
6-Mar-17,U-BOLT,MHU637,Rear U-Bolt
6-Mar-17,Cab Conveyer,XWK825,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,XWK825,Cab Upload
6-Mar-17,U-BOLT,MHU637,Front U-Bolt
6-Mar-17,Cab call scan,JBQ468,A Line
6-Mar-17,Paint Inspection,KMA503,PAINT
6-Mar-17,STVMS Tracking Chassis Start,ALE837,Chassis Start
6-Mar-17,Assembly Line Tracker,KMA503,Pool 13 Start
6-Mar-17,Assembly Line Tracker,WQB451,Pool 13 Start
6-Mar-17,6-Mar-17,EQD264,CIW upload
6-Mar-17,Hood Conveyor,RQJ940,Hood Upload
6-Mar-17,Cab Conveyor / Monorail,RAI572,Cab Upload
6-Mar-17,Paint Inspection,CSV482,PAINT
6-Mar-17,STVMS Tracking Top Station,VCM016,Top Station
6-Mar-17,STVMS Tracking Chassis Start,IOU412,Chassis Start
6-Mar-17,OMT Offline Tracking,WQB451,Enter Offline
6-Mar-17,Cab call scan,EZQ530,A Line
6-Mar-17,Assembly Line Tracker,VCM016,Pool 60 Start
6-Mar-17,U-BOLT,PVZ436,Rear U-Bolt
6-Mar-17,Cab in white conveyer,IVC016,CIW upload
6-Mar-17,Paint Inspection,YZU059,PAINT
6-Mar-17,STVMS Tracking Chassis Start,FHU982,Chassis Start
6-Mar-17,OMT Offline Tracking,ZDI213,Enter Offline
6-Mar-17,U-BOLT,JKZ317,Rear U-Bolt
6-Mar-17,OMT Offline Tracking,KSX968,Enter Offline
6-Mar-17,Cab Call Scan,EQD264,B Line
6-Mar-17,Cab call scan,ADQ781,A Line
6-Mar-17,Assembly Line Tracker,JIN079,Pool 13 Start
6-Mar-17,U-BOLT,ILA012,Rear U-Bolt
6-Mar-17,Cab in white conveyer,YIZ291,CIW upload
6-Mar-17,Cab Conveyer,QRM025,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,QRM025,Cab Upload
6-Mar-17,Paint Inspection,GTO457,PAINT
6-Mar-17,OMT Offline Tracking,ALE837,Enter Offline
6-Mar-17,Hood Conveyor,GTO457,Hood Upload
6-Mar-17,OMT Offline Tracking,YCR723,Sold
6-Mar-17,OMT Offline Tracking,YCR723,Enter Offline
6-Mar-17,U-BOLT,FQP941,Front U-Bolt
6-Mar-17,Cab Conveyer,EVB234,Cab Upload 2
6-Mar-17,Cab Call Scan,EZV240,B Line
6-Mar-17,Paint Inspection,JZP143,PAINT
6-Mar-17,Cab Conveyer,IMS267,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,IMS267,Cab Upload
6-Mar-17,U-BOLT,LES327,Front U-Bolt
6-Mar-17,OMT Offline Tracking,JIN079,Sold
6-Mar-17,U-BOLT,RUK258,Front U-Bolt
6-Mar-17,Paint Inspection,TJG894,PAINT
6-Mar-17,Cab call scan,HTV792,A Line
6-Mar-17,STVMS Tracking Chassis Start,GIL947,Chassis Start
6-Mar-17,Cab Conveyer,KIA624,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,KIA624,Cab Upload
6-Mar-17,Paint Inspection,FHL296,PAINT
6-Mar-17,Paint Inspection,GWE561,PAINT
6-Mar-17,Hood Conveyor,PJL425,Hood Upload
6-Mar-17,Assembly Line Tracker,ZKY831,Pool 13 Start
6-Mar-17,Assembly Line Tracker,VFR160,Pool 13 Start
6-Mar-17,Hood Conveyor,CMI143,Hood Upload
6-Mar-17,U-BOLT,UWT728,Front U-Bolt
6-Mar-17,Paint Inspection,DPH631,PAINT
6-Mar-17,U-BOLT,UWT728,Rear U-Bolt
6-Mar-17,Cab Conveyer,YGL283,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,YGL283,Cab Upload
6-Mar-17,OMT Offline Tracking,YDL247,Enter Offline
6-Mar-17,OMT Offline Tracking,RQJ940,Enter Offline
6-Mar-17,Cab in white conveyer,CNE620,CIW upload
6-Mar-17,Cab in white conveyer,CRN086,CIW upload
6-Mar-17,Assembly Line Tracker,AYO527,Pool 13 Start
6-Mar-17,Cab Conveyer,RHX208,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,RHX208,Cab Upload
6-Mar-17,Hood Conveyor,IOU412,Hood Upload
6-Mar-17,STVMS Tracking Chassis Start,VFR160,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,ZKY831,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,AYO527,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,KNR831,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,SYV137,Chassis Start
6-Mar-17,Cab Call Scan,GDR742,B Line
